,t,p0,p1,p2,p3
131,131.9999999999968,[nan nan],[nan nan],[nan nan],[nan nan]
132,132.99999999999673,[nan nan],[nan nan],[nan nan],[nan nan]
133,133.99999999999667,[nan nan],[nan nan],[nan nan],[nan nan]
134,134.99999999999662,[nan nan],[nan nan],[nan nan],[nan nan]
135,135.99999999999656,[nan nan],[nan nan],[nan nan],[nan nan]
136,136.9999999999965,[nan nan],[nan nan],[nan nan],[nan nan]
137,137.99999999999645,[nan nan],[nan nan],[nan nan],[nan nan]
138,138.9999999999964,[nan nan],[nan nan],[nan nan],[nan nan]
139,139.99999999999633,[nan nan],[nan nan],[nan nan],[nan nan]
140,140.99999999999628,[nan nan],[nan nan],[nan nan],[nan nan]
141,141.99999999999622,[nan nan],[nan nan],[nan nan],[nan nan]
142,142.99999999999616,[nan nan],[nan nan],[nan nan],[nan nan]
143,143.9999999999961,[nan nan],[nan nan],[nan nan],[nan nan]
144,144.99999999999605,[nan nan],[nan nan],[nan nan],[nan nan]
145,145.999999999996,[nan nan],[nan nan],[nan nan],[nan nan]
146,146.99999999999594,[nan nan],[nan nan],[nan nan],[nan nan]
147,147.99999999999588,[nan nan],[nan nan],[nan nan],[nan nan]
148,148.99999999999582,[nan nan],[nan nan],[nan nan],[nan nan]
149,149.99999999999577,[nan nan],[nan nan],[nan nan],[nan nan]
150,150.9999999999957,[nan nan],[nan nan],[nan nan],[nan nan]
151,151.99999999999565,[nan nan],[nan nan],[nan nan],[nan nan]
152,152.9999999999956,[nan nan],[nan nan],[nan nan],[nan nan]
153,153.99999999999554,[nan nan],[nan nan],[nan nan],[nan nan]
154,154.99999999999548,[nan nan],[nan nan],[nan nan],[nan nan]
155,155.99999999999542,[nan nan],[nan nan],[nan nan],[nan nan]
156,156.99999999999537,[nan nan],[nan nan],[nan nan],[nan nan]
157,157.9999999999953,[nan nan],[nan nan],[nan nan],[nan nan]
158,158.99999999999525,[nan nan],[nan nan],[nan nan],[nan nan]
159,159.9999999999952,[nan nan],[nan nan],[nan nan],[nan nan]
160,160.99999999999514,[nan nan],[nan nan],[nan nan],[nan nan]
161,161.99999999999508,[nan nan],[nan nan],[nan nan],[nan nan]
162,162.99999999999503,[nan nan],[nan nan],[nan nan],[nan nan]
163,163.99999999999497,[nan nan],[nan nan],[nan nan],[nan nan]
164,164.9999999999949,[nan nan],[nan nan],[nan nan],[nan nan]
165,165.99999999999486,[nan nan],[nan nan],[nan nan],[nan nan]
166,166.9999999999948,[nan nan],[nan nan],[nan nan],[nan nan]
167,167.99999999999474,[nan nan],[nan nan],[nan nan],[nan nan]
168,168.99999999999469,[nan nan],[nan nan],[nan nan],[nan nan]
169,169.99999999999463,[nan nan],[nan nan],[nan nan],[nan nan]
170,170.99999999999457,[nan nan],[nan nan],[nan nan],[nan nan]
171,171.99999999999451,[nan nan],[nan nan],[nan nan],[nan nan]
172,172.99999999999446,[nan nan],[nan nan],[nan nan],[nan nan]
173,173.9999999999944,[nan nan],[nan nan],[nan nan],[nan nan]
174,174.99999999999434,[nan nan],[nan nan],[nan nan],[nan nan]
175,175.9999999999943,[nan nan],[nan nan],[nan nan],[nan nan]
176,176.99999999999423,[nan nan],[nan nan],[nan nan],[nan nan]
177,177.99999999999417,[nan nan],[nan nan],[nan nan],[nan nan]
178,178.99999999999412,[nan nan],[nan nan],[nan nan],[nan nan]
179,179.99999999999406,[nan nan],[nan nan],[nan nan],[nan nan]
180,180.999999999994,[nan nan],[nan nan],[nan nan],[nan nan]
181,181.99999999999395,[nan nan],[nan nan],[nan nan],[nan nan]
182,182.9999999999939,[nan nan],[nan nan],[nan nan],[nan nan]
183,183.99999999999383,[nan nan],[nan nan],[nan nan],[nan nan]
184,184.99999999999378,[nan nan],[nan nan],[nan nan],[nan nan]
185,185.99999999999372,[nan nan],[nan nan],[nan nan],[nan nan]
186,186.99999999999366,[nan nan],[nan nan],[nan nan],[nan nan]
187,187.9999999999936,[nan nan],[nan nan],[nan nan],[nan nan]
188,188.99999999999355,[nan nan],[nan nan],[nan nan],[nan nan]
189,189.9999999999935,[nan nan],[nan nan],[nan nan],[nan nan]
190,190.99999999999343,[nan nan],[nan nan],[nan nan],[nan nan]
191,191.99999999999338,[nan nan],[nan nan],[nan nan],[nan nan]
192,192.99999999999332,[nan nan],[nan nan],[nan nan],[nan nan]
193,193.99999999999326,[nan nan],[nan nan],[nan nan],[nan nan]
194,194.9999999999932,[nan nan],[nan nan],[nan nan],[nan nan]
195,195.99999999999315,[nan nan],[nan nan],[nan nan],[nan nan]
196,196.9999999999931,[nan nan],[nan nan],[nan nan],[nan nan]
197,197.99999999999304,[nan nan],[nan nan],[nan nan],[nan nan]
198,198.99999999999298,[nan nan],[nan nan],[nan nan],[nan nan]
199,199.99999999999292,[nan nan],[nan nan],[nan nan],[nan nan]
200,200.99999999999287,[nan nan],[nan nan],[nan nan],[nan nan]
